date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
2004-05-14,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-17,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-18,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-19,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-20,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-21,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-24,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-25,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-26,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-27,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
